borough,developmen,tds_num,Latitude,Longitude,NYCHA-data_CONSOLIDATED TDS#,NYCHA-data_NUMBER OF CURRENT APARTMENTS,NYCHA-data_TOTAL NUMBER OF APARTMENTS,NYCHA-data_NUMBER OF RENTAL ROOMS,NYCHA-data_AVG NO R/R PER APARTMENT,NYCHA-data_POPULATION PUBLIC HOUSING,NYCHA_data_TOTALPOPULATION,NYCHA-data_TOTAL # OF FIXED INCOME HOUSEHOLD,NYCHA-data_PERCENT FIXED INCOME HOUSEHOLDS,NYCHA-data_NUMBER OF RESIDENTIAL BLDGS,NYCHA-data_NUMBER OF NON-RESIDENTIAL BLDGS,NYCHA-data_PER RENTAL ROOM,NYCHA-data_AVG MONTHLY GROSS RENT,under_ten,ten_twenty,twenty_thirty,avg_travel_time,count_score,time_score,time_score_2
BROOKLYN,CYPRESS HILLS,70,40.670063,-73.872367,70,"1,439","1,444","6,588.5",4.58,"3,250","3,250",519,0.364,15,0,"$2,247.00",$517.00,3,27,21,19,0.252492537546923,0.598706325682924,0.3501200842934820
BRONX,SOUNDVIEW,71,40.816913,-73.867576,71,"1,258","1,259","5,863.0",4.66,"2,901","2,901",493,0.396,13,2,"$2,308.00",$500.00,3,5,7,18,0.252492537546923,0.691462461274013,0.0723988405679872
BROOKLYN,HOWARD,72,40.67167,-73.909273,72,813,815,"3,699.5",4.55,"1,835","1,835",279,0.348,10,0,"$3,079.00",$504.00,6,21,31,19,0.630558659818236,0.598706325682924,0.38281119100573800
BROOKLYN,SUMNER,73,40.697446,-73.940512,73,"1,098","1,099","5,007.0",4.56,"2,288","2,288",470,0.432,13,0,"$3,608.00",$528.00,9,35,58,20,0.908788780274132,0.5,0.6574175269649350
MANHATTAN,WAGNER,74,40.799684,-73.932101,74,"2,151","2,162","10,068.5",4.68,"4,814","4,814",875,0.409,22,1,"$3,238.00",$536.00,4,18,26,19,0.369441340181764,0.598706325682924,0.29567344090562200
QUEENS,HAMMEL,75,40.588811,-73.809306,75,710,712,"3,296.0",4.64,"1,790","1,790",212,0.302,14,0,"$2,909.00",$453.00,0,1,1,21,0.0477903522728147,0.401293674317076,0.0009523674710027000
MANHATTAN,LA GUARDIA,76,40.712194,-73.987364,76,"1,091","1,094","5,097.5",4.67,"2,458","2,458",488,0.45,9,0,"$3,356.00",$585.00,8,30,43,19,0.841344746068543,0.598706325682924,0.5761153773240880
STATEN ISLAND,MARINER'S HARBOR,77,40.631847,-74.163491,77,606,607,"2,853.0",4.71,"1,515","1,515",146,0.243,22,0,"$2,826.00",$488.00,0,3,3,20,0.0477903522728147,0.5,0.0464703489439793
BRONX,HIGHBRIDGE GARDENS,78,40.837029,-73.92942,78,700,700,"3,252.0",4.65,"1,601","1,601",256,0.372,6,0,"$2,321.00",$521.00,7,26,76,21,0.747507462453077,0.401293674317076,0.5542962285076350
BROOKLYN,RED HOOK WEST,79,40.675936,-74.00819,79,"1,471","1,480","6,320.5",4.3,"3,165","3,165",528,0.369,14,1,,$532.00,1,4,7,18,0.0912112197258679,0.691462461274013,0.060671466188196400
BRONX,CASTLE HILL,80,40.818757,-73.848141,80,"2,022","2,025","9,759.0",4.83,"3,729","4,880",796,0.401,14,0,"$2,915.00",$485.00,5,3,7,17,0.5,0.773372647623132,0.09225673344476970
MANHATTAN,MANHATTANVILLE,81,40.816806,-73.955406,81,"1,272","1,272","6,004.0",4.72,"2,405","2,981",494,0.395,6,0,"$4,306.00",$550.00,6,11,27,20,0.630558659818236,0.5,0.18922645686171800
MANHATTAN,DOUGLASS I,82,40.796793,-73.964392,82,"1,302","1,305","5,806.0",4.46,"2,651","2,651",543,0.42,11,0,"$3,933.00",$549.00,6,16,15,18,0.630558659818236,0.691462461274013,0.17077908904067000
BROOKLYN,MARLBORO,83,40.591872,-73.981003,83,"1,764","1,765","8,248.0",4.68,"3,251","4,112",671,0.387,28,2,"$2,783.00",$551.00,4,15,27,20,0.369441340181764,0.5,0.2723026100154620
BRONX,MILL BROOK,84,40.805368,-73.917973,84,"1,251","1,255","5,799.5",4.64,"2,814","2,814",484,0.392,9,0,"$3,898.00",$479.00,10,14,18,16,0.952209647727185,0.841344746068543,0.3636512740593530
BROOKLYN,ALBANY II,85,40.674861,-73.937505,31,400,400,"1,848.0",4.62,985,985,130,0.331,3,0,"$2,540.00",$542.00,4,24,53,21,0.369441340181764,0.401293674317076,0.4400791128278950
BROOKLYN,BUSHWICK,86,40.702752,-73.939116,86,"1,219","1,220","5,669.5",4.65,"2,288","2,843",499,0.413,8,0,"$3,599.00",$541.00,5,30,58,20,0.5,0.5,0.6025429199342590
MANHATTAN,GRANT,87,40.812734,-73.956947,87,"1,939","1,940","9,133.5",4.71,"4,282","4,282",741,0.39,9,1,"$3,150.00",$565.00,8,8,28,20,0.841344746068543,0.5,0.1799112347991300
BRONX,MONROE,88,40.822615,-73.865046,88,"1,100","1,102","5,299.0",4.82,"2,691","2,691",403,0.369,12,1,"$3,100.00",$526.00,3,9,32,22,0.252492537546923,0.308537538725987,0.1724364064515570
BROOKLYN,PINK,89,40.667409,-73.865105,89,"1,500","1,500","7,098.0",4.73,"3,651","3,651",471,0.317,22,2,"$2,835.00",$557.00,1,14,28,22,0.0912112197258679,0.308537538725987,0.2266903168429080
QUEENS,BAISLEY PARK,91,40.685219,-73.783403,91,381,386,"1,779.5",4.67,947,947,143,0.377,5,1,"$3,246.00",$548.00,0,9,9,20,0.0477903522728147,0.5,0.07987189095205220
BROOKLYN,BAY VIEW,92,40.633336,-73.885972,92,"1,609","1,610","7,310.5",4.54,"2,635","3,506",620,0.388,23,2,"$2,676.00",$529.00,1,2,1,16,0.0912112197258679,0.841344746068543,0.02646099350486140
BRONX,SAINT MARY'S PARK,93,40.816484,-73.908757,93,"1,005","1,007","4,523.5",4.5,"1,760","2,299",344,0.347,6,0,"$3,607.00",$512.00,6,50,64,20,0.630558659818236,0.5,0.7002200779188720
BROOKLYN,CONEY ISLAND,94,40.572225,-73.996355,170,530,534,"2,426.0",4.58,"1,121","1,121",211,0.401,5,0,"$3,165.00",$599.00,1,8,5,18,0.0912112197258679,0.691462461274013,0.10209492728931900
BROOKLYN,LINDEN,95,40.657094,-73.884532,95,"1,586","1,586","7,311.0",4.61,"2,313","3,611",582,0.379,19,2,"$2,767.00",$563.00,2,12,28,21,0.158655253931457,0.401293674317076,0.21590928457012700
BROOKLYN,TILDEN,96,40.663584,-73.907298,96,998,998,"4,750.0",4.76,"2,556","2,556",326,0.332,8,1,"$3,122.00",$492.00,4,27,44,20,0.369441340181764,0.5,0.4474379383063320
